num_of_threads, time
3, 0.035472
4, 0.037854
5, 0.034387
6, 0.104363
7, 0.069933
8, 0.079330
9, 0.159182
10, 0.163801
11, 0.238792
12, 0.241444
13, 0.393186
14, 0.451641
15, 0.489473
16, 0.356372
17, 0.620925
18, 0.543738
19, 0.303794
20, 0.417550
21, 0.359373
22, 0.585541
23, 0.377740
24, 0.578635
25, 0.510963
26, 0.422335
27, 0.471778
28, 0.534335
29, 0.555949
30, 0.443477
31, 0.876555
32, 0.592956
33, 1.263535
34, 0.815456
35, 0.861160
36, 0.667523
37, 0.335471
38, 0.339883
39, 0.289487
40, 0.307731
41, 0.565872
42, 0.900371
43, 1.295051
44, 0.955473
45, 0.805417
46, 1.032790
47, 0.613906
48, 1.072378
49, 1.462794
50, 1.842538
51, 1.618001
52, 1.328538
53, 1.086534
54, 0.999228
55, 1.436218
56, 1.469603
57, 1.638235
58, 0.727328
59, 0.958005
60, 1.173970
61, 1.504148
62, 1.308413
63, 1.526180
64, 1.495107
65, 1.494344
66, 1.008181
67, 1.093532
68, 1.173684
69, 1.438889
70, 1.821720
71, 1.107474
72, 1.201839
73, 1.711397
74, 1.831118
75, 1.025132
76, 1.737215
77, 1.876552
78, 2.075188
79, 1.988630
80, 1.555809
81, 1.498794
82, 1.661090
83, 1.280621
84, 1.938478
85, 1.821327
86, 2.121529
87, 1.331394
88, 1.539365
89, 2.020250
90, 2.056548
91, 3.028977
92, 1.603566
93, 1.623010
94, 2.379961
95, 2.472402
96, 2.418789
97, 2.024411
98, 3.048582
99, 2.169939
