num_of_threads, time
3, 0.059936
4, 0.039090
5, 0.041745
6, 0.050577
7, 0.073734
8, 0.071666
9, 0.137945
10, 0.183610
11, 0.234837
12, 0.228771
13, 0.227379
14, 0.242458
15, 0.210027
16, 0.214697
17, 0.305757
18, 0.310168
19, 0.367260
20, 0.334024
21, 0.333339
22, 0.328188
23, 0.243484
24, 0.304767
25, 0.296891
26, 0.322200
27, 0.250657
28, 0.160482
29, 0.191251
30, 0.181346
31, 0.272336
32, 0.339362
33, 0.351746
34, 0.402935
35, 0.378845
36, 0.420013
37, 0.279220
38, 0.205935
39, 0.389245
40, 0.345063
41, 0.217371
42, 0.359028
43, 0.275404
44, 0.390643
45, 0.445776
46, 0.397391
47, 0.422690
48, 0.500501
49, 0.524817
50, 0.833930
51, 0.537104
52, 0.321479
53, 0.334305
54, 0.407064
55, 0.986333
56, 0.519049
57, 0.691211
58, 0.808054
59, 0.774146
60, 1.217895
61, 0.846734
62, 0.571438
63, 0.526371
64, 0.481070
65, 0.406027
66, 1.099757
67, 1.007594
68, 0.913290
69, 0.737608
70, 0.787191
71, 1.013768
72, 0.755602
73, 1.375302
74, 1.024798
75, 1.087355
76, 1.012121
77, 0.730470
78, 1.197689
79, 1.473221
80, 1.373492
81, 1.070851
82, 0.666064
83, 1.935266
84, 1.651684
85, 0.921628
86, 1.633828
87, 0.998476
88, 1.828807
89, 1.535845
90, 1.123260
91, 1.095047
92, 1.332568
93, 1.588983
94, 1.421280
95, 1.555354
96, 1.622238
97, 1.516355
98, 2.031615
99, 1.925058
