cache size, LRU, LRU Approx, Random, FIFO
10, 10.480000, 10.880000, 10.800000, 10.980000
11, 12.570000, 12.500000, 12.070000, 12.549999
12, 13.700000, 13.210000, 13.099999, 13.600000
13, 14.580000, 14.100000, 14.540000, 14.480000
14, 15.490000, 14.749999, 15.500000, 15.260000
15, 16.380001, 15.580000, 16.510000, 16.410000
16, 17.299999, 16.830000, 17.180000, 17.650000
17, 18.469999, 17.670000, 18.330000, 18.559999
18, 19.420000, 17.580000, 19.590000, 19.380001
19, 20.460001, 17.900000, 20.299999, 20.580000
20, 21.520000, 19.270000, 21.809999, 21.480000
21, 22.500000, 20.029999, 22.400002, 22.530001
22, 23.510000, 20.520000, 23.410000, 23.549999
23, 24.609999, 20.850000, 24.020000, 24.549999
24, 25.570000, 21.389999, 25.119999, 25.590000
25, 26.600000, 21.469999, 26.010000, 26.469999
26, 27.500000, 21.590000, 27.480000, 27.570000
27, 28.680000, 22.000000, 27.869999, 28.630001
28, 29.519999, 22.139999, 29.330000, 29.510000
29, 30.610001, 22.450001, 30.300001, 30.420000
30, 31.590000, 22.570000, 30.500000, 31.029999
31, 32.420002, 22.420000, 31.850000, 32.030003
32, 33.509998, 22.550001, 32.790001, 33.000000
33, 34.389999, 22.540001, 34.880001, 33.970001
34, 35.240002, 22.460001, 35.250000, 34.730000
35, 36.119999, 22.530001, 35.680000, 35.630001
36, 37.029999, 22.530001, 37.110001, 36.649998
37, 37.930000, 22.580000, 37.059998, 37.419998
38, 38.760002, 22.500000, 38.190002, 38.250000
39, 39.899998, 22.719999, 39.730000, 39.119999
40, 40.970001, 22.560001, 40.290001, 39.709999
41, 41.910000, 22.590000, 41.570000, 41.130001
42, 42.860001, 22.700001, 42.110001, 42.130001
43, 43.630001, 22.719999, 43.630001, 43.220001
44, 44.440002, 22.750000, 44.220001, 44.180000
45, 45.270000, 22.650000, 45.919998, 45.200001
46, 46.259998, 22.700001, 46.459999, 46.189999
47, 47.029999, 22.670000, 47.360001, 46.970001
48, 48.020000, 22.590000, 48.110001, 47.750000
49, 49.079998, 22.709999, 49.559998, 49.070000
50, 50.040001, 22.760000, 50.029999, 49.849998
51, 50.989998, 22.650000, 50.910004, 50.680000
52, 51.869999, 22.760000, 52.060001, 51.849998
53, 52.859997, 22.719999, 53.369999, 52.770000
54, 53.840000, 22.639999, 53.780003, 53.899998
55, 54.809998, 22.760000, 54.939999, 54.720001
56, 55.870003, 22.639999, 55.760002, 55.650002
57, 56.760002, 22.700001, 56.750000, 56.930000
58, 57.599998, 22.680000, 57.190002, 57.799999
59, 58.530003, 22.719999, 58.819996, 58.579998
60, 59.320004, 22.730000, 59.609997, 59.480000
61, 60.290001, 22.779999, 60.740002, 60.030003
62, 61.169998, 22.750000, 61.080002, 61.470001
63, 62.269997, 22.820000, 62.070000, 62.250000
64, 63.290001, 22.830000, 63.000000, 63.250000
65, 64.099998, 22.930000, 64.670006, 64.410004
66, 65.139999, 22.779999, 65.000000, 65.209999
67, 66.009995, 22.770000, 66.269997, 66.040001
68, 67.029999, 22.840000, 67.580002, 66.869995
69, 67.940002, 22.779999, 68.029999, 67.809998
70, 68.919998, 22.849998, 68.430000, 68.419998
71, 69.950005, 22.809999, 70.250000, 69.500000
72, 71.070000, 22.910000, 69.639999, 70.470001
73, 72.040001, 22.830000, 72.050003, 71.550003
74, 72.899994, 22.809999, 72.409996, 73.119995
75, 73.889999, 22.809999, 74.000000, 73.779999
76, 74.650002, 22.930000, 74.389999, 74.730003
77, 75.529999, 22.920000, 75.300003, 75.930000
78, 76.599998, 22.830000, 76.430000, 76.830002
79, 77.560005, 22.869999, 77.779999, 77.880005
80, 78.369995, 22.959999, 78.540001, 78.939995
81, 79.269997, 22.840000, 79.879997, 79.689995
82, 80.209999, 22.939999, 80.139999, 80.970001
83, 81.190002, 22.889999, 81.370003, 81.800003
84, 82.200005, 22.939999, 81.599998, 82.690002
85, 83.170006, 22.969999, 83.170006, 83.450005
86, 84.199997, 22.939999, 83.370003, 84.260002
87, 85.209999, 22.889999, 85.079994, 85.829994
88, 86.009995, 23.029999, 85.250000, 85.849998
89, 86.900002, 22.980000, 86.309998, 87.180000
90, 87.949997, 23.019999, 87.580002, 87.980003
91, 88.970001, 22.980000, 88.029999, 89.670006
92, 89.950005, 22.990000, 88.919998, 90.130005
93, 91.009995, 23.049999, 89.940002, 91.189995
94, 92.099998, 23.080000, 89.800003, 92.720001
95, 93.180000, 23.000000, 91.469994, 93.169998
96, 94.050003, 22.990000, 92.269997, 94.040001
97, 95.040001, 23.019999, 93.510002, 95.110001
98, 96.139999, 23.160000, 94.389999, 95.790001
99, 97.050003, 23.010000, 93.690002, 97.010002
100, 97.860001, 23.160000, 94.959999, 97.790001
