num_of_threads, time
3, 0.025365
4, 0.017125
5, 0.020760
6, 0.029055
7, 0.036280
8, 0.044390
9, 0.050056
10, 0.058725
11, 0.056854
12, 0.063807
13, 0.071966
14, 0.078882
15, 0.086412
16, 0.084716
17, 0.091369
18, 0.102388
19, 0.109983
20, 0.124071
21, 0.100576
22, 0.121371
23, 0.134632
24, 0.134673
25, 0.140916
26, 0.119171
27, 0.146479
28, 0.160126
29, 0.137804
30, 0.173341
31, 0.176514
32, 0.170071
33, 0.189921
34, 0.195270
35, 0.200803
36, 0.202620
37, 0.213837
38, 0.222106
39, 0.226772
40, 0.229548
41, 0.236103
42, 0.246897
43, 0.241597
44, 0.253683
45, 0.255690
46, 0.257982
47, 0.271746
48, 0.276900
49, 0.291616
50, 0.290809
51, 0.284046
52, 0.315510
53, 0.311514
54, 0.309473
55, 0.330934
56, 0.314015
57, 0.329847
58, 0.333053
59, 0.343386
60, 0.335252
61, 0.355523
62, 0.354699
63, 0.362288
64, 0.369841
65, 0.387660
66, 0.379928
67, 0.384725
68, 0.395047
69, 0.407629
70, 0.402499
71, 0.416699
72, 0.415048
73, 0.428891
74, 0.441785
75, 0.442731
76, 0.444726
77, 0.446024
78, 0.447069
79, 0.473451
80, 0.476414
81, 0.477222
82, 0.482403
83, 0.488466
84, 0.481714
85, 0.516956
86, 0.504873
87, 0.502980
88, 0.527522
89, 0.511051
90, 0.537164
91, 0.535871
92, 0.540039
93, 0.536319
94, 0.543384
95, 0.566377
96, 0.566976
97, 0.575603
98, 0.585918
99, 0.597174
