num_of_threads, time
3, 0.045889
4, 0.052356
5, 0.119746
6, 0.172061
7, 0.239131
8, 0.297429
9, 0.271815
10, 0.254461
11, 0.332247
12, 0.408046
13, 0.295742
14, 0.352661
15, 0.223307
16, 0.432673
17, 0.548046
18, 0.466381
19, 0.528364
20, 0.611396
21, 0.572738
22, 0.381883
23, 0.633546
24, 0.701957
25, 0.770443
26, 0.575275
27, 0.680940
28, 0.932930
29, 0.245256
30, 0.512174
31, 0.575828
32, 0.528292
33, 0.784181
34, 0.539465
35, 0.865779
36, 0.605515
37, 0.864708
38, 0.944153
39, 0.725497
40, 0.739431
41, 1.030520
42, 1.080742
43, 0.982597
44, 1.009820
45, 1.115122
46, 1.077026
47, 0.999284
48, 1.108035
49, 0.948523
50, 1.210571
51, 1.039081
52, 1.030508
53, 1.531792
54, 1.332910
55, 1.450641
56, 1.449782
57, 1.184027
58, 1.141697
59, 1.087839
60, 1.450916
61, 1.539739
62, 0.409124
63, 1.363219
64, 0.415609
65, 0.647108
66, 2.316976
67, 0.962103
68, 0.679372
69, 1.328365
70, 1.388919
71, 1.970462
72, 1.996786
73, 1.303067
74, 1.980243
75, 1.273077
76, 1.238951
77, 1.465997
78, 3.236238
79, 1.256110
80, 1.928223
81, 1.937317
82, 3.277355
83, 0.607530
84, 1.985059
85, 1.217420
86, 1.861769
87, 1.023340
88, 2.218690
89, 2.417592
90, 1.811960
91, 1.717487
92, 1.975818
93, 0.934112
94, 2.611901
95, 1.638120
96, 2.480600
97, 1.698633
98, 2.470492
99, 3.292071
